alias,categories,id,id_closed,name,rating,review_count
the-masalawala-new-york-2,indian,sCC7-hSdCkNPExejZT9BAQ,False,The MasalaWala,4.5,1375
bengal-tiger-indian-food-new-york,indian,x0k5kFArHLijdY8-NEQ7Xg,False,Bengal Tiger Indian Food,4.5,1599
indian-table-brooklyn-2,indian,BXoW0AUDE7WZJcY-Vhqlbg,False,Indian Table,4.0,89
tikka-indian-grill-brooklyn-5,indian,WWpOWqOgS9ClYvxYVzR0lg,False,Tikka Indian Grill,4.0,290
aahar-indian-cuisine-new-york,indian,_z2_1TE_1brlvljiGtJ4mA,False,Aahar Indian Cuisine,4.5,269
malai-marke-indian-cuisine-new-york,indian,7DUPGtHqVZHJ3yIufbWLsg,False,Malai Marke Indian Cuisine,4.0,525
the-drunken-munkey-ues-new-york,indian,9pMhRYYgV7E9L7pzECtJKA,False,The Drunken Munkey - UES,4.5,902
pippali-new-york,indian,HEs6llkn3wIP1ATXeIZQew,False,Pippali,4.0,686
indian-kitchen-williamsburg,indian,gsZUN1Vtpd3P7rdvANbrmg,False,Indian Kitchen,4.0,164
benares-new-york-3,indian,iXSuNKKUBIrBX7zUerlQDQ,False,Benares,4.0,448
surya-new-york-3,indian,_R6EjbrynW_LFnmWoRqgww,False,Surya,4.0,192
kitchen-grill-indian-restaurant-brooklyn,indian,YDtIHtfvWd4W36wq6UAjoA,False,Kitchen Grill Indian Restaurant,4.5,222
baar-baar-new-york-2,indian,jYhbUh1TV7SCfPxjIhVpcg,False,Baar Baar,4.0,489
spice-and-grill-the-indian-kitchen-brooklyn-2,indian,iXrKGRzIZK0pp31mO3nBzA,False,Spice & Grill : The Indian Kitchen,4.5,117
mint-masala-new-york,indian,FvnExtQHPfz_crDCBTQ1iQ,False,Mint Masala,4.0,289
seva-indian-cuisine-astoria-5,indian,lxNU-aBq0yPwBDx-i89ahA,False,Seva Indian Cuisine,4.5,1137
adda-long-island-city,indian,Xl-zlT0NLLiKhym88em22w,False,Adda,4.5,202
mahal-kita-brooklyn,indian,AlfkFxfD-cUBGA3Eq3j0Uw,False,Mahal Kita,4.0,251
bombay-grill-brooklyn-5,indian,ZqOxAKVZEZTa4XS4zthp3Q,False,Bombay Grill,4.5,177
tikka-indian-grill-park-slope,indian,xDERYqY7CbIx4aAlKsLy-A,False,Tikka Indian Grill,5.0,4
the-masalawala-new-york-2,indian,sCC7-hSdCkNPExejZT9BAQ,False,The MasalaWala,4.5,1375
bengal-tiger-indian-food-new-york,indian,x0k5kFArHLijdY8-NEQ7Xg,False,Bengal Tiger Indian Food,4.5,1599
indian-table-brooklyn-2,indian,BXoW0AUDE7WZJcY-Vhqlbg,False,Indian Table,4.0,89
tikka-indian-grill-brooklyn-5,indian,WWpOWqOgS9ClYvxYVzR0lg,False,Tikka Indian Grill,4.0,290
aahar-indian-cuisine-new-york,indian,_z2_1TE_1brlvljiGtJ4mA,False,Aahar Indian Cuisine,4.5,269
malai-marke-indian-cuisine-new-york,indian,7DUPGtHqVZHJ3yIufbWLsg,False,Malai Marke Indian Cuisine,4.0,525
the-drunken-munkey-ues-new-york,indian,9pMhRYYgV7E9L7pzECtJKA,False,The Drunken Munkey - UES,4.5,902
pippali-new-york,indian,HEs6llkn3wIP1ATXeIZQew,False,Pippali,4.0,686
indian-kitchen-williamsburg,indian,gsZUN1Vtpd3P7rdvANbrmg,False,Indian Kitchen,4.0,164
benares-new-york-3,indian,iXSuNKKUBIrBX7zUerlQDQ,False,Benares,4.0,448
surya-new-york-3,indian,_R6EjbrynW_LFnmWoRqgww,False,Surya,4.0,192
kitchen-grill-indian-restaurant-brooklyn,indian,YDtIHtfvWd4W36wq6UAjoA,False,Kitchen Grill Indian Restaurant,4.5,222
baar-baar-new-york-2,indian,jYhbUh1TV7SCfPxjIhVpcg,False,Baar Baar,4.0,489
spice-and-grill-the-indian-kitchen-brooklyn-2,indian,iXrKGRzIZK0pp31mO3nBzA,False,Spice & Grill : The Indian Kitchen,4.5,117
mint-masala-new-york,indian,FvnExtQHPfz_crDCBTQ1iQ,False,Mint Masala,4.0,289
seva-indian-cuisine-astoria-5,indian,lxNU-aBq0yPwBDx-i89ahA,False,Seva Indian Cuisine,4.5,1137
